,PIEZO2,GDF3,EBF2,VIPAS39,PREX2,MAP3K9,CIB1,ASB14,ARMC8,KCNE5,MUC5B,PMEL,NCCRP1,CRLF1,DGKI,ZNF749,GTF2F2,RPL7L1,S100A9,CDC5L,TP63,MTRNR2L6,KEL,FRS3,SCX,TFEB,TJAP1,DNAH8,BBS4,YIPF3,label
TCGA.KL.8332.01A,0.1974156496769562,0.0413080895008605,0.321808341292582,0.1554621848739495,0.2890916632102862,0.1540277367955148,0.2347379574537452,0.1472081218274111,0.3593882752761257,0.0108695652173913,0.1428571428571428,0.0432432432432432,0.5523504273504274,0.0048913554698523,0.0012634238787113,0.0601354042214257,0.0987960339943342,0.1113492450073063,0.0534648325979756,0.2326309200918005,0.0915032679738562,0.1126760563380281,0.0004235493434985,0.119448698315467,0.1305732484076433,0.0831447963800905,0.2205128205128204,0.0235294117647058,0.1148105625717566,0.1548855670973735,0
TCGA.KN.8423.01A,0.1726489590811198,0.0103270223752151,0.9629417382999046,0.9087635054021608,0.2816258813770219,0.3322514015933903,0.0617817263020621,0.1218274111675126,0.5471537807986406,0.0326086956521739,0.3469387755102041,0.2810810810810811,0.110042735042735,0.1089267237324804,0.006734864385711,0.1127041019514137,0.2546033994334278,0.6437408670238675,0.0786400207630417,0.6958063843104528,0.0239651416122004,0.0422535211267605,0.0012706480304955,0.2649310872894334,0.0828025477707006,0.3757541478129713,0.367948717948718,0.0196078431372549,0.1670493685419058,0.423021704247952,0
TCGA.KL.8327.01A,0.0405599425699928,0.0068846815834767,0.0063037249283667,0.0534213685474189,0.0074657818332642,0.0560637356152257,0.0,0.0964467005076142,0.0135938827527612,0.0652173913043478,0.1020408163265306,0.0216216216216216,0.1047008547008547,0.0007525162261311,0.0278564587451347,0.0,0.0,0.0,0.0147936672722553,0.0,0.0065359477124183,0.4366197183098592,0.0029648454044896,0.225114854517611,0.3057324840764331,0.4104449472096532,0.1905982905982905,0.0,0.1598737083811711,0.0,0
TCGA.KO.8409.01A,0.0143575017946877,0.0086058519793459,0.376758993950971,0.0714285714285714,0.0132725010369141,0.0652109766892888,0.3775368815714403,0.0609137055837563,0.0,0.0434782608695652,0.5102040816326531,0.0846846846846846,0.0491452991452991,0.2771141002727871,0.000804923277566,0.0043807248108323,0.0605524079320113,0.0770579639551875,0.0827926291201661,0.0982683079490924,0.0152505446623093,0.5211267605633803,0.0033883947479881,0.1883614088820827,0.3662420382165605,0.3904600301659126,0.1217948717948717,0.0117647058823529,0.1007462686567164,0.145511358837936,0
TCGA.KN.8430.01A,0.2315147164393395,0.0206540447504302,0.6425342247691819,0.514405762304922,0.2695976773123185,0.1702567128946591,0.4641780096177358,0.2842639593908629,0.9379779099405268,0.0108695652173913,0.3061224489795918,0.2126126126126126,0.0405982905982906,0.1212491769353776,0.0036374381024188,0.062126642771804,0.1936968838526912,0.2786166585484656,0.1186088762003633,0.3557271020237846,0.2962962962962963,0.0985915492957746,0.0042354934349851,0.1776416539050536,0.0764331210191082,0.2922322775263952,0.2149572649572649,0.0196078431372549,0.1834098737083812,0.3096866818680854,0
TCGA.KL.8329.01A,0.0768126346015793,0.0068846815834767,0.2604902897166508,0.5720288115246098,0.0862712567399419,0.2930067866627323,0.5661423098867063,0.5888324873096447,0.6791277258566978,0.0217391304347826,0.0816326530612244,0.2126126126126126,0.0576923076923076,0.0320760041388392,0.158284596417582,0.0732775786539227,0.2305240793201133,0.3795421334632245,0.16350895406177,0.4151888170248278,0.2592592592592593,0.0,0.0038119440914866,0.1669218989280245,0.1942675159235669,0.4766214177978884,0.2623931623931623,0.0274509803921568,0.2313432835820895,0.4852630689975509,0
TCGA.KL.8338.01A,0.0330222541277817,0.0086058519793459,0.2893982808022923,0.3373349339735894,0.0111986727498963,0.1823546768958394,0.2390577879207759,0.1878172588832487,0.3508920985556499,0.0217391304347826,0.2448979591836734,0.1207207207207207,0.1826923076923077,0.0166494215031511,0.0143663521692172,0.0712863401035444,0.1065864022662889,0.2522162688748173,0.0399688554373215,0.1896515752138535,0.0915032679738562,0.0704225352112676,0.0207539178314273,0.1883614088820827,0.2866242038216561,0.4236425339366516,0.3034188034188034,0.0117647058823529,0.0895522388059701,0.3462545393125581,0
TCGA.KO.8406.01A,0.4443646805455851,0.0034423407917383,0.2410060490289716,0.3961584633853541,0.1567814184985483,0.3169076423723812,0.3528404922976608,0.0964467005076142,0.7312376097422827,0.0,0.1632653061224489,0.2882882882882883,0.1891025641025641,0.0019753550935942,0.1904203941067389,0.0876144962166467,0.1749291784702549,0.3243058938139308,0.0441214637944458,0.4145629042353432,0.0305010893246187,0.2394366197183098,0.0033883947479881,0.119448698315467,0.1910828025477707,0.1689291101055806,0.308974358974359,0.0,0.6707807118254879,0.3491259184190525,0
TCGA.KL.8346.01A,0.0638908829863603,0.0120481927710843,0.5191340337472143,0.5312124849939975,0.0273745333886354,0.4246090292121569,0.5032194962914663,0.1928934010152284,0.4984423676012461,0.0543478260869565,0.1428571428571428,0.0594594594594594,0.2211538461538461,0.0058320007525162,0.0059095633036496,0.093189964157706,0.0888810198300283,0.1930832927423283,0.0,0.1840183601084915,0.0980392156862745,0.1267605633802817,0.0033883947479881,0.3124042879019909,0.2006369426751592,0.7219079939668176,0.2606837606837606,0.0078431372549019,0.189150401836969,0.3950679841229626,0
TCGA.KL.8323.01A,0.1751615218951902,0.0120481927710843,0.4025469595670169,0.3091236494597839,0.1974284529240978,0.5028031867807613,0.2445187056809846,0.2131979695431471,0.5083545737751345,0.0217391304347826,0.3061224489795918,0.3783783783783784,0.1549145299145299,0.0143918728247577,0.3066859576549223,0.075268817204301,0.186614730878187,0.3517778860204579,0.0511289903970931,0.2735238890047987,0.0217864923747276,0.0704225352112676,0.0050825921219822,0.0551301684532924,0.0414012738853503,0.2313348416289593,0.2136752136752136,0.0705882352941176,0.1615958668197474,0.2253188075331475,0
TCGA.KL.8326.01A,0.0574300071787508,0.0034423407917383,0.0173193250557147,0.234093637454982,0.0207382828701783,0.0616701091767483,0.7102453337680332,0.7208121827411167,0.237892948173322,0.0108695652173913,0.0816326530612244,0.3531531531531532,0.0747863247863248,0.2095757689775185,0.0196238257290159,0.0744723217841497,0.413243626062323,0.3480759863614223,0.0114196729820918,0.278531191320676,0.0174291938997821,0.5492957746478874,0.0029648454044896,0.4058192955589586,0.0477707006369426,0.2469834087481146,0.4119658119658119,0.0117647058823529,0.1409299655568312,0.4573093488725614,0
TCGA.KO.8414.01A,0.0671213208901651,0.0223752151462994,0.0774912448264883,0.6332533013205282,0.0713396930734135,0.3402183534966067,0.8338087863721575,0.1065989847715735,0.1659586519399603,0.0108695652173913,0.3469387755102041,0.3315315315315316,0.0448717948717948,0.0920891731727965,0.0042895278462698,0.089605734767025,0.1887393767705382,0.2648806624452021,0.0589151310667012,0.2209472146880867,0.0675381263616557,0.5633802816901409,0.0046590427784836,0.6003062787136295,0.6019108280254778,1.0,0.573076923076923,0.0078431372549019,0.3498851894374282,0.5160037159023732,0
