,hsa-mir-21,hsa-mir-203a,hsa-mir-221,hsa-mir-3607,hsa-mir-7706,hsa-mir-23a,hsa-mir-148b,hsa-mir-187,hsa-mir-369,hsa-mir-222,hsa-mir-6892,hsa-mir-874,hsa-mir-889,hsa-mir-370,hsa-mir-337,hsa-mir-940,hsa-mir-200c,hsa-mir-126,hsa-mir-659,hsa-mir-671,hsa-mir-361,hsa-mir-149,hsa-mir-382,hsa-mir-493,hsa-mir-654,hsa-mir-675,hsa-mir-141,hsa-mir-431,hsa-mir-455,hsa-mir-432,label
TCGA.KL.8332.01A,0.0888659921600223,0.3227248816412414,0.7369458128078816,0.1710526315789473,0.6666666666666666,0.1480465320456541,1.0,1.0,0.0068493150684931,0.8829931972789116,0.2,0.3706896551724137,0.0127118644067796,0.0075757575757575,0.0019157088122605,0.5714285714285714,0.339486089901069,0.7334615384615385,0.6666666666666667,0.3157894736842105,0.8184079601990049,0.282051282051282,0.0086206896551724,0.009090909090909,0.0017667844522968,0.0200400801603206,0.4081916968514907,0.0153846153846153,0.0082135523613963,0.017391304347826,0
TCGA.KN.8423.01A,0.0621568718592316,0.8953182535507628,0.2376847290640393,0.0592105263157894,0.3333333333333333,0.0764925373134328,0.2663316582914573,0.1425641025641025,0.0068493150684931,0.3469387755102041,0.0,0.1573275862068965,0.0042372881355932,0.0075757575757575,0.0,0.1428571428571428,0.4285903990438882,0.5182692307692307,0.6666666666666667,0.2631578947368421,0.4029850746268656,0.1282051282051282,0.0086206896551724,0.009090909090909,0.0017667844522968,0.002004008016032,0.4942881025355252,0.0076923076923076,0.0041067761806981,0.008695652173913,0
TCGA.KL.8327.01A,0.0106469789229585,0.042872172540768,0.6955665024630542,0.5263157894736842,0.3333333333333333,0.0347892888498683,0.100502512562814,0.2343589743589743,0.0068493150684931,0.8312925170068027,0.2,0.365301724137931,0.0042372881355932,0.0075757575757575,0.0019157088122605,0.1428571428571428,0.5003651815948477,0.5153846153846153,0.3333333333333333,0.4736842105263158,0.4950248756218905,0.0256410256410256,0.0043103448275862,0.0045454545454545,0.0,0.002004008016032,0.6843131791585401,0.0076923076923076,0.0082135523613963,0.008695652173913,0
TCGA.KO.8409.01A,0.0151660701466251,0.5213045765386639,0.5389162561576355,0.1710526315789473,0.3333333333333333,0.0579455662862159,0.2462311557788944,0.0297435897435897,0.0068493150684931,0.4435374149659863,0.2,0.1734913793103448,0.0127118644067796,0.0075757575757575,0.0019157088122605,0.1428571428571428,0.3742779363920059,0.4046153846153846,0.0,0.2631578947368421,0.4129353233830846,0.0256410256410256,0.0043103448275862,0.0045454545454545,0.0017667844522968,0.0280561122244488,0.6584006687099471,0.0153846153846153,0.0075290896646132,0.008695652173913,0
TCGA.KN.8430.01A,0.0990429855957195,0.6959495002630195,0.4509852216748768,0.1578947368421052,0.3333333333333333,0.163630377524144,0.3316582914572865,0.104102564102564,0.0205479452054794,0.6775510204081633,0.2,0.2176724137931034,0.0211864406779661,0.0303030303030303,0.0095785440613026,0.1428571428571428,0.4119912356417237,0.6038461538461538,0.0,0.1578947368421052,0.4054726368159204,0.6923076923076923,0.0172413793103448,0.0181818181818181,0.0141342756183745,0.0220440881763527,0.8467539704653108,0.023076923076923,0.0171115674195756,0.017391304347826,0
TCGA.KL.8329.01A,0.1090469623959963,0.4763282482903734,0.2711822660098522,0.2171052631578947,0.3333333333333333,0.0449956101843722,0.1306532663316583,0.0282051282051282,0.0068493150684931,0.3496598639455782,0.2,0.5592672413793103,0.0084745762711864,0.0075757575757575,0.0019157088122605,0.1428571428571428,0.1792709647433769,0.0136538461538461,0.6666666666666667,0.3157894736842105,0.3233830845771144,0.0256410256410256,0.0043103448275862,0.0045454545454545,0.0017667844522968,0.002004008016032,0.3594315965449986,0.0,0.0047912388774811,0.008695652173913,0
TCGA.KL.8338.01A,0.129896758133073,0.2695949500263019,0.7672413793103448,0.2631578947368421,0.3333333333333333,0.1187445127304653,0.3869346733668341,0.3148717948717948,0.0273972602739726,0.7210884353741497,0.0,0.5193965517241379,0.1144067796610169,0.2045454545454545,0.003831417624521,0.1428571428571428,0.0008631564969125,0.1925,0.6666666666666667,0.3157894736842105,0.6567164179104477,0.2307692307692307,0.0474137931034482,0.0136363636363636,0.008833922261484,0.0160320641282565,0.0011145165784341,0.1538461538461538,0.0088980150581793,0.1391304347826087,0
TCGA.KO.8406.01A,0.0269389483687371,0.2233035244608101,0.3472906403940886,0.3618421052631578,0.6666666666666666,0.1194029850746268,0.0301507537688442,0.0102564102564102,0.0068493150684931,0.5374149659863946,0.2,0.1961206896551724,0.0042372881355932,0.0151515151515151,0.0019157088122605,0.1428571428571428,0.4011685811035124,0.2444230769230769,0.3333333333333333,0.1578947368421052,0.2213930348258705,0.0256410256410256,0.0043103448275862,0.0045454545454545,0.0017667844522968,0.0040080160320641,0.8305934800780163,0.0,0.0116358658453114,0.0,0
TCGA.KL.8346.01A,0.0632956828475956,0.4253024723829563,0.9999999999999998,0.1907894736842105,0.6666666666666666,0.0469710272168568,0.4773869346733668,0.3923076923076923,0.0136986301369863,0.8421768707482993,0.2,0.2209051724137931,0.0211864406779661,0.0227272727272727,0.0,0.2857142857142857,0.4566761835203506,0.1057692307692307,0.3333333333333333,0.3684210526315789,0.6616915422885572,0.4102564102564102,0.0086206896551724,0.0136363636363636,0.0070671378091872,0.002004008016032,0.6617442184452494,0.023076923076923,0.0041067761806981,0.008695652173913,0
TCGA.KL.8323.01A,0.0822655366356269,0.1351920042083114,0.3105911330049261,0.2302631578947368,0.3333333333333333,0.0820895522388059,0.3316582914572865,0.103076923076923,0.0136986301369863,0.4721088435374149,0.2,0.2726293103448275,0.0254237288135593,0.0227272727272727,0.0057471264367816,0.1428571428571428,0.4029612907509462,0.2101923076923076,1.0,0.4210526315789473,0.2562189054726368,0.0512820512820512,0.0129310344827586,0.0136363636363636,0.0053003533568904,0.0040080160320641,0.5631095012538312,0.0384615384615384,0.0177960301163586,0.0434782608695652,0
TCGA.KL.8326.01A,0.003827024681985,0.015255128879537,0.2773399014778325,0.131578947368421,0.3333333333333333,0.0772607550482879,0.1155778894472361,0.0743589743589743,0.0068493150684931,0.45578231292517,0.2,0.595905172413793,0.0042372881355932,0.0075757575757575,0.0,0.1428571428571428,0.1065666290418962,0.3301923076923077,0.3333333333333333,0.1052631578947368,0.2238805970149253,0.0256410256410256,0.0043103448275862,0.0045454545454545,0.0017667844522968,0.0100200400801603,0.0841460016717748,0.0076923076923076,0.0246406570841889,0.008695652173913,0
